n, r, p, q, ratio, clique_hyp_bipart, clique_hyp_vol, clique_clique_bipart, clique_clique_vol, clique_runtime, diff_hyp_bipart, diff_hyp_vol, diff_clique_bipart, diff_clique_vol, diff_runtime, approx_diff_hyp_bipart, approx_diff_hyp_vol, approx_diff_clique_bipart, approx_diff_clique_vol, approx_diff_runtime
100, 3, 0.0001, 1e-05, 0.1, 0.0, 93.3, 0.3952769353666966, 93.3, 0.005760765075683594, 0.0, 92.9, 0.38580984577313276, 92.9, 1.9764710187911987, 0.0, 92.8, 0.39929052039467855, 92.8, 0.10009088516235351
100, 3, 0.0001, 2e-05, 0.2, 0.0, 151.6, 0.3626127114580006, 151.6, 0.006181669235229492, 0.0, 146, 0.3687954585878129, 146.0, 3.342047929763794, 0.0, 141.9, 0.3746199412732287, 141.9, 0.1130589485168457
100, 3, 0.0001, 3.0000000000000008e-05, 0.30000000000000004, 0.0, 174.5, 0.36890214239548624, 174.5, 0.007412862777709961, 0.0, 174.9, 0.36932744657442795, 174.9, 4.232987380027771, 0.0, 161.5, 0.38382099899293115, 161.5, 0.11335484981536866
100, 3, 0.0001, 4e-05, 0.4, 0.0, 165.9, 0.38277161511012775, 165.9, 0.006810784339904785, 0.0, 179.7, 0.369320149636215, 179.7, 4.4208447456359865, 0.0, 188.6, 0.3571045706321465, 188.6, 0.11276831626892089
100, 3, 0.0001, 5e-05, 0.5, 0.0, 227.5, 0.3574303080544875, 227.5, 0.008038020133972168, 0.0, 209.9, 0.371310433065762, 209.9, 5.908890867233277, 0.0, 198.8, 0.3773462118617498, 198.8, 0.13220663070678712
100, 3, 0.0001, 6.0000000000000015e-05, 0.6000000000000001, 0.0, 241.9, 0.356923564995605, 241.9, 0.008048939704895019, 0.0, 216.3, 0.3744875374874242, 216.3, 6.442787337303161, 0.0, 189.9, 0.3895074429837727, 189.9, 0.13182075023651124
100, 3, 0.0001, 7.000000000000001e-05, 0.7000000000000001, 0.0, 278.3, 0.3568314875619978, 278.3, 0.009972572326660156, 0.0, 211.8, 0.3911291737732194, 211.8, 7.202197599411011, 0.0, 219.2, 0.38730881164815356, 219.2, 0.15053420066833495
100, 3, 0.0001, 8e-05, 0.8, 0.0, 307.6, 0.36199893540034644, 307.6, 0.010040950775146485, 0.0, 241.7, 0.38872414529883104, 241.7, 8.391464161872864, 0.0, 209.6, 0.3997650536361816, 209.6, 0.15555906295776367
100, 3, 0.0001, 9e-05, 0.9, 0.0, 323.2, 0.3655035761662657, 323.2, 0.012168407440185547, 0.0, 280.4, 0.38630512422434643, 280.4, 10.041821599006653, 0.0, 318.8, 0.36882523400502437, 318.8, 0.16303911209106445
100, 3, 0.0001, 0.0001, 1.0, 0.0, 348.6, 0.36625118327050576, 348.6, 0.013576889038085937, 0.0, 314.5, 0.38184028657394253, 314.5, 11.417894673347472, 0.0, 315.4, 0.38203354942858647, 315.4, 0.1747209072113037
100, 3, 0.0001, 0.00011000000000000002, 1.1, 0.0, 282.2, 0.397058338765821, 282.2, 0.01491401195526123, 0.0, 244.2, 0.41529470177633493, 244.2, 11.491255450248719, 0.0, 279.4, 0.3989226751100796, 279.4, 0.18447260856628417
100, 3, 0.0001, 0.00012000000000000003, 1.2000000000000002, 0.0, 391, 0.3631735484227389, 391.0, 0.01565821170806885, 0.0, 208.9, 0.4298256699422839, 208.9, 11.961142110824586, 0.0, 299.9, 0.39827215607161176, 299.9, 0.1914513349533081
100, 3, 0.0001, 0.00013000000000000002, 1.3, 0.0, 305.3, 0.3942052585135615, 305.3, 0.019173407554626466, 0.0, 307.3, 0.392621349250236, 307.3, 9.66048219203949, 0.0, 209.7, 0.42717662723085864, 209.7, 0.18311898708343505
100, 3, 0.0001, 0.00014000000000000001, 1.4000000000000001, 0.0, 222.3, 0.42658959528281076, 222.3, 0.02256464958190918, 0.0, 225.3, 0.4276374894281682, 225.3, 11.778984880447387, 0.0, 181.7, 0.43981602955497573, 181.7, 0.20755307674407958
100, 3, 0.0001, 0.00015000000000000001, 1.5, 0.0, 358.3, 0.39767451861164177, 358.3, 0.02688145637512207, 0.0, 98.8, 0.47669562834276125, 98.8, 10.39529058933258, 0.0, 106.4, 0.47186308003582206, 106.4, 0.15278396606445313
100, 3, 0.0001, 0.00016, 1.6, 0.0, 111.2, 0.46694444444444444, 111.2, 0.0271073579788208, 0.0, 48.8, 0.4828883803712179, 48.8, 2.715003418922424, 0.0, 53.5, 0.48499005964214714, 53.5, 0.08225743770599366
100, 3, 0.0001, 0.00017000000000000004, 1.7000000000000002, 0.0, 102.8, 0.4700818839280378, 102.8, 0.023711466789245607, 0.0, 2.6, 0.5, 2.6, 6.19413206577301, 0.0, 105, 0.46918614762112715, 105.0, 0.10886983871459961
100, 3, 0.0001, 0.00018, 1.8, 0.0, 69, 0.4837962962962963, 69.0, 0.01994330883026123, 0.0, 63.2, 0.4862876254180602, 63.2, 3.0994861125946045, 0.0, 63.8, 0.4862876254180602, 63.8, 0.07531931400299072
