name, bipartiteness, ci, fr1, fr2
CLSZ Clusters 0 and 1, 0.4881168634574629, 0.2694967906907702, 0.9736234963234622, 0.939061693628094
CLSZ Clusters 0 and 2, 0.11068354111836931, 0.02186416339552997, 0.8738888383219818, 0.8799229290080344
CLSZ Clusters 0 and 3, 0.16183945646703574, 0.13663269089155375, 0.8747422226943173, 0.9108806095547051
CLSZ Clusters 0 and 4, 0.22237044049514465, 0.027343363132042452, 0.9172737805928503, 0.9060607225594126
CLSZ Clusters 0 and 5, 0.3077593102835304, 0.12733037292598715, 0.9507837112689235, 0.9270280037360845
CLSZ Clusters 0 and 6, 0.18619078311311635, 0.0699078505683747, 0.8913794500315215, 0.9015576282832114
CLSZ Clusters 0 and 7, 0.5475403514570595, 0.30864908946194203, 0.9899589314580486, 0.9697782589332974
CLSZ Clusters 0 and 8, 0.2064672315407228, 0.1816074022244644, 0.9352180135600107, 0.8818193814744242
CLSZ Clusters 0 and 9, 0.5561531424135733, 0.05429670356569913, 0.9808625676858085, 0.977734271911245
CLSZ Clusters 1 and 2, 0.10589483905203852, 0.14651165701334226, 0.9344993264027899, 0.9554223100517394
CLSZ Clusters 1 and 3, 0.14707339222323124, 0.1970144766703905, 0.9404285413151854, 0.9587793380108474
CLSZ Clusters 1 and 4, 0.13453071604545816, 0.29073892735759066, 0.8230832471528733, 0.9392047895086043
CLSZ Clusters 1 and 5, 0.23351465027399754, 0.08127884788077189, 0.9321334665366513, 0.9430050645019198
CLSZ Clusters 1 and 6, 0.1397074035761785, 0.2692670319177565, 0.8935371808444885, 0.9503568730196413
CLSZ Clusters 1 and 7, 0.47356290672451196, 0.10651248087350348, 0.9693618648066804, 0.9786108171141688
CLSZ Clusters 1 and 8, 0.17099082979199284, 0.09193977933376567, 0.9328249359155186, 0.9505310093191032
CLSZ Clusters 1 and 9, 0.47541767740612934, 0.40849264806398966, 0.9474161528265767, 0.9919872594440313
CLSZ Clusters 2 and 3, 0.2391502417979488, 0.04641328150465552, 0.827716033818595, 0.8402338306416877
CLSZ Clusters 2 and 4, 0.32257058575642644, 0.01303373926893293, 0.8984328679812545, 0.8951623874585268
CLSZ Clusters 2 and 5, 0.3565425713959767, 0.0020406698261939363, 0.858513775464838, 0.8739130505526173
CLSZ Clusters 2 and 6, 0.2884486041894575, 0.028913135501906, 0.8740824378606405, 0.8781479570230127
CLSZ Clusters 2 and 7, 0.5319396051103368, 0.18004388657199358, 0.9389968133013629, 0.8938419132267572
CLSZ Clusters 2 and 8, 0.28093704839895545, 0.06356698369906917, 0.8528647157412353, 0.8330216723526609
CLSZ Clusters 2 and 9, 0.5423980047997742, 0.056042033337818466, 0.9310548290605837, 0.9198377530709143
CLSZ Clusters 3 and 4, 0.3093257038312946, 0.08157183390246708, 0.9234096099874054, 0.9092836466898448
CLSZ Clusters 3 and 5, 0.3321164204844508, 0.13150888901587002, 0.8898146263063518, 0.8576833426536341
CLSZ Clusters 3 and 6, 0.2810982755734137, 0.01823540029347697, 0.9110105531745663, 0.907793477874315
CLSZ Clusters 3 and 7, 0.5209667185787622, 0.3275952643332791, 0.9609710630018059, 0.880897846697859
CLSZ Clusters 3 and 8, 0.25067845916554404, 0.13072071742290473, 0.8677708816047647, 0.830776394177569
CLSZ Clusters 3 and 9, 0.5402601536613951, 0.03936688282264321, 0.9300492466271325, 0.9389878310251057
CLSZ Clusters 4 and 5, 0.3108733371891267, 0.04188959720503212, 0.8922983329829206, 0.8856739828376338
CLSZ Clusters 4 and 6, 0.2134607318595206, 0.06894190567441769, 0.8568608924346164, 0.8767386528566932
CLSZ Clusters 4 and 7, 0.5135520684736091, 0.13470069088282485, 0.9558345118190631, 0.9394711710949767
CLSZ Clusters 4 and 8, 0.25786889668195306, 0.03684676622542814, 0.9064857342218726, 0.9053655507999653
CLSZ Clusters 4 and 9, 0.5049031171019377, 0.0632165351589953, 0.9238476500617914, 0.9445746582352275
CLSZ Clusters 5 and 6, 0.22555730878287797, 0.11711477605143322, 0.8815483891492564, 0.9053183814784052
CLSZ Clusters 5 and 7, 0.5701060208572729, 0.10071461310042418, 0.969516330301131, 0.9591673398559311
CLSZ Clusters 5 and 8, 0.2419047378586848, 0.032315276464877786, 0.9011957136137503, 0.892709748808768
CLSZ Clusters 5 and 9, 0.573243549511855, 0.19712777201554338, 0.9463199847963113, 0.9741777287997083
CLSZ Clusters 6 and 7, 0.5246192104445135, 0.2498671926445527, 0.9596227618885439, 0.9210374675011016
CLSZ Clusters 6 and 8, 0.27095350508057064, 0.09254580201799088, 0.9025413997983813, 0.8910426457408768
CLSZ Clusters 6 and 9, 0.5096638327743546, 0.2307476366027471, 0.9450645565910752, 0.8846404694003254
CLSZ Clusters 7 and 8, 0.1390388768898488, 0.19276079144772354, 0.9196758404900455, 0.9632534225944313
CLSZ Clusters 7 and 9, 0.4311268745903851, 0.2487464918735805, 0.9807313726255652, 0.9905517795962321
CLSZ Clusters 8 and 9, 0.5677548323705297, 0.02702429253118636, 0.9496183416687075, 0.9476934307622564
Diffusion Clusters 0 and 1, 0.4939271255060729, 0.04494939162456522, 0.9914646957667524, 0.9908207089502881
Diffusion Clusters 0 and 2, 0.020486763648175216, 0.10601474760318007, 0.9927335836307042, 0.9903727824593707
Diffusion Clusters 0 and 3, 0.020968708235402554, 0.10349374944441962, 0.9931906888157735, 0.9910599170218424
Diffusion Clusters 0 and 4, 0.021906525659145182, 0.10518464658802862, 0.9922461818542798, 0.9892842839508142
Diffusion Clusters 0 and 5, 0.018484328037784457, 0.11127048868168495, 0.9931386683952935, 0.9908631297262359
Diffusion Clusters 1 and 2, 0.019892173266406396, 0.07527578455550697, 0.9924723287805595, 0.9911622940327668
Diffusion Clusters 1 and 3, 0.02000969327702001, 0.07479562871339003, 0.9923308192670498, 0.9910009898790143
Diffusion Clusters 1 and 4, 0.02184578583807269, 0.04818990455502814, 0.9925045205098817, 0.9917456463042517
Diffusion Clusters 1 and 5, 0.017286233364150416, 0.07956135804799845, 0.992459137482817, 0.9911461230654007
Diffusion Clusters 2 and 3, 0.2994397524876662, 0.0013864996336133523, 0.8968021283855723, 0.8973510654915944
Diffusion Clusters 2 and 4, 0.31571054540090715, 0.014696080907354837, 0.8994414982080715, 0.9026466166650868
Diffusion Clusters 2 and 5, 0.2785430692214742, 0.0020468248674143136, 0.8929089788591164, 0.8936469974973227
Diffusion Clusters 3 and 4, 0.31442743417023883, 0.007379464236133752, 0.8979906786985528, 0.8983396854561105
Diffusion Clusters 3 and 5, 0.2803124139829342, 0.0007953741017005483, 0.8911162969739148, 0.8924228554089885
Diffusion Clusters 4 and 5, 0.27593360995850624, 0.021241834935172215, 0.8988853664091202, 0.8943087202978888
