name, bipartiteness, ci, fr1, fr2
CLSZ Clusters 0 and 1, 0.05994191196160422, 0.09470089394593253, 0.7201765668345086, 0.7669935770692854
CLSZ Clusters 0 and 2, 0.4377870609334675, 0.018346364873946037, 0.9240825884456826, 0.9224773696485034
CLSZ Clusters 0 and 3, 0.23846646012931033, 0.2620815907710237, 0.7382388039292227, 0.8836552869972785
CLSZ Clusters 1 and 2, 0.3197651368581306, 0.1963647754925323, 0.8879681432925217, 0.7887652608634056
CLSZ Clusters 1 and 3, 0.23506288183366003, 0.001858514702383148, 0.7692427826739061, 0.7827046733435107
CLSZ Clusters 2 and 3, 0.20525748112473977, 0.19668289981124154, 0.9157476728009728, 0.9444986958993141
Diffusion Clusters 0 and 1, 0.10222541839724868, 0.00018382992669423618, 0.7591438571396942, 0.7587940086898898
Diffusion Clusters 0 and 2, 0.6694794652342105, 0.01698715887735109, 0.9930092824760738, 0.9934501744230817
Diffusion Clusters 0 and 3, 0.6568807521618697, 0.04771109004709523, 0.9858498638682074, 0.9850033938634247
Diffusion Clusters 1 and 2, 0.6505110851808634, 0.02325475854045528, 0.9923783148207466, 0.9938736762022228
Diffusion Clusters 1 and 3, 0.6382118335091518, 0.04972116541830426, 0.9852248404069042, 0.9840907704131853
Diffusion Clusters 2 and 3, 0.34681408204829794, 0.06700715789414295, 0.9903479510462594, 0.9879379007980261
