name, bipartiteness, ci, fr1, fr2
CLSZ Clusters 0 and 1, 0.8447265830343963, 0.10711098831703736, 0.9075729496145245, 0.8914318980548491
CLSZ Clusters 0 and 2, 0.8034554956141462, 0.07079127144574496, 0.8809096222593823, 0.8606986788203069
CLSZ Clusters 0 and 3, 0.8595179786346879, 0.009656143730860515, 0.9088363895490207, 0.9087294269746682
CLSZ Clusters 0 and 4, 0.8516210746063468, 0.24360552370109043, 0.9467950115733854, 0.8827051261737419
CLSZ Clusters 0 and 5, 0.834198956882663, 0.06989228037447744, 0.9058791023456376, 0.8954138623331767
CLSZ Clusters 0 and 6, 0.830033243198713, 0.12216451513296872, 0.9105269561197188, 0.8865337914758957
CLSZ Clusters 0 and 7, 0.8788405300573862, 0.22690996131606833, 0.9524673092296341, 0.9179970573712714
CLSZ Clusters 0 and 8, 0.8381326213296173, 0.027909208907408566, 0.8844326530561527, 0.8809456340952322
CLSZ Clusters 0 and 9, 0.8636857062705063, 0.2717206873923244, 0.950520798229214, 0.8945171768761214
CLSZ Clusters 1 and 2, 0.8361020252943597, 0.03881650299572424, 0.9046067417418439, 0.905433143518834
CLSZ Clusters 1 and 3, 0.7865829605757709, 0.12331001046624131, 0.8289671195109052, 0.8630192060519839
CLSZ Clusters 1 and 4, 0.8809341715010539, 0.02457930923352694, 0.9476403601965386, 0.9450292879881477
CLSZ Clusters 1 and 5, 0.8279946899054674, 0.19055213500939355, 0.8800935363356774, 0.9353361762183425
CLSZ Clusters 1 and 6, 0.8205524903959213, 0.041862369395673504, 0.8899462562731177, 0.9012454756881445
CLSZ Clusters 1 and 7, 0.8600049053917433, 0.15029896239569965, 0.9494914034203065, 0.9083970046553168
CLSZ Clusters 1 and 8, 0.7912364819934904, 0.06945290110613238, 0.8320261503114421, 0.8534590676406589
CLSZ Clusters 1 and 9, 0.8794511071486077, 0.08575619274629138, 0.9478709444012583, 0.9302171931711292
CLSZ Clusters 2 and 3, 0.8507107146724215, 0.0690982517697409, 0.9071381947381453, 0.9180611891944319
CLSZ Clusters 2 and 4, 0.8416386349710513, 0.054361506349278464, 0.9242589340047809, 0.9436468842972557
CLSZ Clusters 2 and 5, 0.8208417372596477, 0.036016952406119206, 0.9070214001588125, 0.9201026538002728
CLSZ Clusters 2 and 6, 0.8037030662880418, 0.04718758411227572, 0.8955479894969548, 0.887137580107619
CLSZ Clusters 2 and 7, 0.8522499007662052, 0.10330385434677283, 0.9428613466628377, 0.9318549528649666
CLSZ Clusters 2 and 8, 0.8470550236798775, 0.015465944022688584, 0.9007634727267941, 0.9045544271687606
CLSZ Clusters 2 and 9, 0.7832116263174934, 0.2929172801515322, 0.9382571060508609, 0.8198270463474893
CLSZ Clusters 3 and 4, 0.8751601976080703, 0.04100036762210918, 0.9271951253521991, 0.9354672888166055
CLSZ Clusters 3 and 5, 0.8328505485058588, 0.1071043672005857, 0.9106316935662683, 0.8869557209138055
CLSZ Clusters 3 and 6, 0.7983092347306449, 0.11825904717386213, 0.883366730028771, 0.8560057699353
CLSZ Clusters 3 and 7, 0.8379350258507601, 0.30643675995635195, 0.9491331778623732, 0.8604221163826861
CLSZ Clusters 3 and 8, 0.7830242337483064, 0.04264739995167045, 0.8370604626770605, 0.8263363694430745
CLSZ Clusters 3 and 9, 0.8925168671917088, 0.19481851204810738, 0.9564262360557706, 0.9361445101282021
CLSZ Clusters 4 and 5, 0.8832728814357719, 0.0807043179040409, 0.9757540747308915, 0.9804851441635758
CLSZ Clusters 4 and 6, 0.8656470733705313, 0.19748000842585547, 0.9750466495303539, 0.9473543549878947
CLSZ Clusters 4 and 7, 0.9032418433648577, 0.187413405320106, 0.9873143390120211, 0.9801849096421401
CLSZ Clusters 4 and 8, 0.8769000443770391, 0.07446104169788921, 0.917407274910502, 0.9330754071703543
CLSZ Clusters 4 and 9, 0.8789275289033949, 0.3985923671346944, 0.9912546861932137, 0.9479470089785885
CLSZ Clusters 5 and 6, 0.8418058371142646, 0.11113114644968654, 0.9489081915622479, 0.9306068610372873
CLSZ Clusters 5 and 7, 0.882033410087037, 0.24297761248839556, 0.9824431520638687, 0.9646784286590223
CLSZ Clusters 5 and 8, 0.8290182126657665, 0.01117883423107706, 0.8840909148792442, 0.8853084988035353
CLSZ Clusters 5 and 9, 0.866187024893585, 0.2486465356694608, 0.9693568059760254, 0.9391250578764445
CLSZ Clusters 6 and 7, 0.8666804190549162, 0.04030575395945543, 0.9583922692813057, 0.9569229966672075
CLSZ Clusters 6 and 8, 0.8121753355275835, 0.003090827624181239, 0.8794700916696676, 0.8664728327049196
CLSZ Clusters 6 and 9, 0.8520116840606514, 0.0820555560073391, 0.9425106450034734, 0.932015116663977
CLSZ Clusters 7 and 8, 0.8546431595528792, 0.16079743209923145, 0.8833199989653421, 0.9257909564344852
CLSZ Clusters 7 and 9, 0.88953401178361, 0.13545288653277648, 0.9762470150080269, 0.9608382111868933
CLSZ Clusters 8 and 9, 0.9010461643001741, 0.15284161461612408, 0.9565656097777595, 0.9354956223973293
Diffusion Algorithm, 0.379194756788533, 0.07437554007649813, 0.4212448769098017, 0.49551534226618577
