run_id,configuration_id,vertices,edge_function_id,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
1,1,10,1,40,3,0.03333333333333333,120,0.003912448883056641,0.03333333333333333,120,0.5930187702178955
2,1,10,1,40,3,0.08333333333333333,120,0.0034666061401367188,0.08333333333333333,120,0.9219715595245361
3,1,10,1,40,3,0.08256880733944955,109,0.003431558609008789,0.06666666666666667,120,1.3305797576904297
4,1,10,1,40,3,0.05,120,0.0034613609313964844,0.05,120,0.49733495712280273
5,1,10,1,40,3,0.08333333333333333,120,0.003500223159790039,0.08333333333333333,120,0.32538557052612305
6,1,10,1,40,3,0.12371134020618557,97,0.003406047821044922,0.05,120,1.3303380012512207
7,1,10,1,40,3,0.03333333333333333,120,0.003573894500732422,0.03333333333333333,120,0.2231121063232422
8,1,10,1,40,3,0.03333333333333333,120,0.0036039352416992188,0.03333333333333333,120,0.23768067359924316
9,1,10,1,40,3,0.05,120,0.0034689903259277344,0.05,120,0.3615880012512207
10,1,10,1,40,3,0.08333333333333333,120,0.003477334976196289,0.08333333333333333,120,1.3487517833709717
11,2,10,2,30,3,0.0,81,0.003058910369873047,0.0,81,0.267730712890625
12,2,10,2,30,3,0.022222222222222223,90,0.0030889511108398438,0.022222222222222223,90,0.32301759719848633
13,2,10,2,30,3,0.044444444444444446,90,0.0032384395599365234,0.044444444444444446,90,0.3280956745147705
14,2,10,2,30,3,0.08888888888888889,90,0.0031130313873291016,0.08888888888888889,90,1.3121631145477295
15,2,10,2,30,3,0.06666666666666667,90,0.0031142234802246094,0.022222222222222223,90,1.338376522064209
16,2,10,2,30,3,0.05952380952380952,84,0.00312042236328125,0.044444444444444446,90,1.3127717971801758
17,2,10,2,30,3,0.08888888888888889,90,0.0031096935272216797,0.08536585365853659,82,0.3622286319732666
18,2,10,2,30,3,0.0975609756097561,82,0.003082752227783203,0.022222222222222223,90,1.270143985748291
19,2,10,2,30,3,0.0963855421686747,83,0.0031213760375976562,0.06666666666666667,90,0.4130258560180664
20,2,10,2,30,3,0.1,80,0.0030896663665771484,0.022222222222222223,90,0.4238126277923584
21,3,20,1,80,3,0.1,240,0.009018659591674805,0.075,240,0.874509334564209
22,3,20,1,80,3,0.05,240,0.009070634841918945,0.016666666666666666,240,0.46656107902526855
23,3,20,1,80,3,0.07327586206896551,232,0.008989572525024414,0.058333333333333334,240,0.37380218505859375
24,3,20,1,80,3,0.043859649122807015,228,0.008927345275878906,0.025,240,0.40118408203125
25,3,20,1,80,3,0.08333333333333333,240,0.009743452072143555,0.041666666666666664,240,0.5833349227905273
26,3,20,1,80,3,0.09166666666666666,240,0.009006738662719727,0.075,240,0.7416741847991943
27,3,20,1,80,3,0.075,240,0.009038686752319336,0.075,240,0.5111684799194336
28,3,20,1,80,3,0.075,240,0.009389877319335938,0.06666666666666667,240,0.5348834991455078
29,3,20,1,80,3,0.05,240,0.009238004684448242,0.05,240,0.7215707302093506
30,3,20,1,80,3,0.05,240,0.009234189987182617,0.041666666666666664,240,0.3701465129852295
31,4,20,2,60,3,0.05555555555555555,180,0.007585048675537109,0.03333333333333333,180,0.5708038806915283
32,4,20,2,60,3,0.052941176470588235,170,0.007486820220947266,0.03333333333333333,180,0.5472121238708496
